BL NO#,INV NO,DUE DATE, INV AMT , BALANCE 
8022139010,2082794132,4/11/2019,"$3,335.00 ",$35.00 
8022238450,2082830439,4/24/2019,"$2,610.00 ",$135.00 
8022238460,2082830475,4/24/2019,"$1,785.00 ",$135.00 
8022206360,2082881189,5/11/2019,$50.00 ,$50.00 
8022273010,2082901936,5/14/2019,$90.00 ,$90.00 
8021493220,2082893996,5/21/2019,$50.00 ,$50.00 
8021487190,2082916727,5/22/2019,$50.00 ,$50.00 
8022333340,2082903661,5/24/2019,$90.00 ,$90.00 
8022333670,2082897974,5/25/2019,"$9,258.88 ","$9,240.00 "
8021499770,2082868092,5/27/2019,$150.00 ,$150.00 
8022355340,2082882960,6/3/2019,"$2,621.00 ","$2,621.00 "
8022311540,2082880841,6/6/2019,"$2,935.00 ",$35.00 
8022355340,2082947050,6/6/2019,$50.00 ,$50.00 
8022266980,2082917124,6/7/2019,$90.00 ,$90.00 
8022355349,2082950693,6/9/2019,$50.00 ,$50.00 
6199806530,2082954952,6/19/2019,"$2,745.70 ","$2,745.70 "
6204543581,2082973355,6/20/2019,$441.00 ,$441.00 
8022457380,2082911711,6/20/2019,$737.00 ,$737.00 
8022413860,2082931026,6/20/2019,"$9,428.00 ","$9,428.00 "
8022456010,2082959079,6/23/2019,$90.00 ,$90.00 
8022289070,2082920691,6/24/2019,"$3,042.50 ",$267.50 
8022341360,2082902454,6/24/2019,"$1,127.00 ","$1,127.00 "
6199806110,2082962807,6/24/2019,"$6,150.00 ","$6,150.00 "
6204543580,2082981424,6/25/2019,$441.00 ,$441.00 
8022498060,2082924911,6/25/2019,$801.00 ,$801.00 
8022499520,2082924919,6/25/2019,$801.00 ,$801.00 
8021532020,2082924926,6/25/2019,"$1,685.00 ","$1,685.00 "
8022480720,2082920770,6/26/2019,"$2,611.00 ",$31.00 
6199807240,2082968134,6/26/2019,"$2,995.70 ","$2,995.70 "
6880394980,2082984372,6/26/2019,"$34,150.00 ","$34,150.00 "
8022433670,2082988322,6/27/2019,$30.00 ,$30.00 
8022306830,2082988330,6/27/2019,$450.00 ,$450.00 
6214262700,2082976355,6/27/2019,"$6,168.04 ","$6,168.04 "
