vendorID,fileID,blID,dateID,amount
APLU,L01-116775,APLUAXK0157221,6/21/2019,100
APLU,L01-120428,APLUNPMZ015721,10/11/2019,"1,984.00"
APLU,L02-010914,APLUAYU0179761E,10/7/2019,"3,763.00"
APLU,L03-031788,APLU719169509,12/26/2018,"1,600.00"
APLU,L03-032028,SPEE010113,1/9/2019,"4,555.00"
APLU,L03-035369,APLUSHHB003545,10/3/2019,"3,124.00"
APLU,L07-086620,CHID003181,7/29/2019,115
APLU,L07-110869,APLUAXK0196970,10/1/2019,"3,550.00"
APLU,L07-111077,APLUAXK0199239,10/4/2019,"3,550.00"
APLU,L07-111083,APLUAXK0198474,10/4/2019,"3,550.00"
APLU,L07-111305,APLUAXK0200939,10/10/2019,"3,550.00"
APLU,L07-111306,APLUAXK0195549,10/11/2019,"3,364.00"
APLU,L08-057159,APLUAYU0249933,7/3/2019,"6,000.00"
APLU,L08-058188,APLUAYU0292729,9/12/2019,"3,800.00"
APLU,L08-058448,APLUAYU0297950,9/30/2019,"8,750.00"
APLU,L08-058461,APLUAYU0302230,10/3/2019,"2,350.00"
APLU,L08-058482,APLUAYU0300842,9/20/2019,"3,000.00"
APLU,L08-058584,APLUAYU0309240,10/11/2019,750
APLU,L08-058691,APLUAYU0311914,10/8/2019,460
APLU,L15-010901,L15-010901-KJ,10/2/2019,195
APLU,L15-011030,TJ19A01099,9/27/2019,"1,860.00"
CMA,L02-010317,NAEX2521465,7/27/2018,375
CMA,L02-011167,NAM3597547,8/27/2019,730
CMA,L03-035275,CMDUAMC0769406,10/7/2019,"1,920.00"
CMA,L03-035344,CMDUAMC0774226,10/11/2019,"1,934.00"
CMA,L06-009787,L06-009787,6/27/2019,50
CMA,L06-009859,L06-009859,6/24/2019,50
CMA,L07-077435,FZ17A00157,4/27/2017,374
CMA,L07-110960,CMDUECN0168394,10/9/2019,75
CMA,L07-111039,CMDUFOC0159753,10/7/2019,"35,190.00"
CMA,L07-111040,CMDUFOC0159779,10/7/2019,"21,114.00"
CMA,L07-111251,CMDUXIA0421741,10/8/2019,"4,254.00"
CMA,L08-057301,CMDUNAM3552980,8/1/2019,"3,435.00"
CMA,L08-058795,CMDUNAM3617314,10/14/2019,"3,300.00"
CMA,L15-010958,CMDUCNHB024609,5/31/2019,"1,230.46"
CMA,L16-009118,CMDUNAM3643482,10/11/2019,"1,010.00"
COSU,L01-098411,COSU6167592950,10/11/2017,"1,320.00"
COSU,L01-115866,COSU6180312960,6/6/2019,0.01
COSU,L01-116810,COSU6199443380,7/16/2019,"2,127.00"
COSU,L01-117057,COSU6199445340,7/17/2019,137
COSU,L01-117058,COSU6199443350,7/17/2019,137
COSU,L01-119986,COSU6215898030,10/9/2019,"1,953.00"
COSU,L01-120090,COSU6217872340,10/3/2019,"2,705.00"
COSU,L01-120091,COSU6220408440,10/11/2019,"3,327.75"
COSU,L01-120092,COSU6220438590,10/11/2019,"3,327.75"
COSU,L01-120093,COSU6220423420,10/11/2019,"3,327.75"
COSU,L01-120094,COSU6220442790,10/11/2019,"3,327.75"
COSU,L01-120095,COSU6220438540,10/11/2019,"3,327.75"
COSU,L01-120312,COSU6218082820,10/11/2019,"1,935.00"
COSU,L01-120593,COSU6216298070,10/11/2019,"2,707.02"
COSU,L01-120810,COSU6224709250,10/11/2019,"3,093.02"
COSU,L03-035411,COSU6224743190,10/11/2019,970
COSU,L03-035412,COSU6224741910,10/11/2019,"1,205.00"
COSU,L03-035416,COSU6218104271,10/7/2019,"1,205.00"
COSU,L03-035453,COSU6219133670,10/11/2019,"1,453.00"
COSU,L05-032948,COSU6218062100,10/10/2019,"1,175.00"
COSU,L06-010164,COSU8021633260,10/11/2019,402
COSU,L07-088747,COSU6176600162,3/2/2018,30
COSU,L07-102771,VN19A00609,8/22/2019,550
COSU,L07-103167,VN19A00168,8/22/2019,"2,900.00"
COSU,L07-103168,VN18A08258,8/22/2019,"3,400.00"
COSU,L07-103555,VN19A00904,7/10/2019,900
COSU,L07-105963,HKG19050155,6/27/2019,480
COSU,L07-107391,SZN19060124,8/29/2019,125
COSU,L07-108236,PDHOU0011182,9/16/2019,"1,050.00"
COSU,L07-110320,COSU6202790180,10/7/2019,"2,622.00"
COSU,L07-110321,COSU6214606920,10/7/2019,"2,622.00"
COSU,L07-110356,COSU6214603020,10/7/2019,"2,622.00"
COSU,L07-110357,COSU6214603030,10/7/2019,"2,622.00"
COSU,L07-110389,COSU6219039150,10/7/2019,"2,602.00"
COSU,L07-110390,COSU6219039160,10/7/2019,"2,602.00"
COSU,L07-110467,COSU6214612640,10/7/2019,"5,244.00"
COSU,L07-110532,COSU6209784810,10/2/2019,"2,405.00"
COSU,L07-110689,COSU6162600920,10/9/2019,"2,400.00"
COSU,L07-110695,COSU6219088410,10/7/2019,"5,262.00"
COSU,L07-110734,COSU6217949020,10/1/2019,"6,001.50"
COSU,L07-110755,COSU6162601220,10/9/2019,"2,240.00"
COSU,L07-110756,COSU6162607090,10/9/2019,"2,240.00"
COSU,L07-110824,COSU6218025120,10/10/2019,"5,590.00"
COSU,L07-110840,COSU6217880600,10/7/2019,"2,740.00"
COSU,L07-110841,COSU6217880601,10/7/2019,"2,740.00"
COSU,L07-110842,COSU6217880603,10/7/2019,"2,740.00"
COSU,L07-110843,COSU6218014060,10/7/2019,"2,733.06"
COSU,L07-110873,COSU6217204390,10/1/2019,"3,145.70"
COSU,L07-110886,COSU6221109740,10/9/2019,"2,997.00"
COSU,L07-110921,COSU6217979530,10/8/2019,"1,970.00"
COSU,L07-110987,COSU6222606090,10/10/2019,"3,093.02"
COSU,L07-110997,COSU6217993361,10/8/2019,"2,639.00"
COSU,L07-111041,COSU6880470120,10/7/2019,"34,110.00"
COSU,L07-111042,COSU6880470110,10/7/2019,"34,110.00"
COSU,L07-111046,COSU6217204910,10/2/2019,"5,991.40"
COSU,L07-111084,COSU6222624070,10/2/2019,"3,365.00"
COSU,L07-111099,COSU6217205270,10/4/2019,"3,396.00"
COSU,L07-111122,COSU6195099730,10/10/2019,"16,345.10"
COSU,L07-111182,COSU6216271920,10/7/2019,"3,205.00"
COSU,L07-111213,COSU6218069581,10/7/2019,"6,393.00"
COSU,L07-111225,COSU6880470700,10/7/2019,"6,822.00"
COSU,L07-111261,COSU6217205760,10/10/2019,"3,063.02"
COSU,L07-111262,COSU6218075001,10/7/2019,"9,231.00"
COSU,L07-111263,COSU6217205770,10/10/2019,"20,969.90"
COSU,L07-111341,COSU6218104272,10/9/2019,"2,997.00"
COSU,L07-111351,COSU6880475600,10/10/2019,"13,644.00"
COSU,L07-111352,COSU6880475790,10/10/2019,"23,877.00"
COSU,L07-111376,COSU6218104220,10/10/2019,"6,822.00"
COSU,L07-111447,COSU6217206010,10/10/2019,"3,396.00"
COSU,L07-111448,COSU6217206020,10/10/2019,"3,396.00"
COSU,L07-111449,COSU6217206090,10/10/2019,"10,188.00"
COSU,L07-111450,COSU6217206060,10/10/2019,"3,396.00"
COSU,L07-111451,COSU6217206050,10/10/2019,"3,396.00"
COSU,L07-111452,COSU6217206040,10/10/2019,"3,396.00"
COSU,L08-050592,2082370320,4/5/2019,681
COSU,L08-050592,2082370320,4/5/2019,50
COSU,L08-050794,COSU8019613700,9/12/2018,50
COSU,L08-051456,COSU8020955550,9/5/2018,35
COSU,L08-051967,2082451784,11/7/2018,"1,235.00"
COSU,L08-051982,2082451551,4/5/2019,50
COSU,L08-055505,COSU8022281120,5/10/2019,50
COSU,L08-056103,COSU802281670,6/3/2019,"2,120.40"
COSU,L08-057139,2083040800,10/1/2019,50
COSU,L08-057734,COSU8022728211,9/19/2019,"1,469.00"
COSU,L08-057813,COSU8022768580,8/14/2019,"2,980.00"
COSU,L08-058047,COSU8022775310,10/1/2019,"1,650.00"
COSU,L08-058183,COSU8022767080,9/23/2019,"1,599.00"
COSU,L08-058342,COSU8022897390,9/23/2019,"1,727.00"
COSU,L08-058404,COSU8022962920,10/8/2019,"3,107.00"
COSU,L08-058408,COSU8022882580,10/9/2019,"1,006.00"
COSU,L08-058470,COSU8021618770,10/9/2019,"1,219.00"
