Check #,Check Date,Check Amount,Validation,Vendor,File Number,Ref Number/Check Date,Amount
90051915,10/11/2019,12651.5,FALSE,COSU,L08-058644,COSU8022863270,"1,304.50"
90051915,10/11/2019,12651.5,FALSE,COSU,L08-058695,COSU8022968360,"1,030.00"
90051915,10/11/2019,12651.5,FALSE,COSU,L08-058634,COSU8021622530,"6,416.00"
90051915,10/11/2019,12651.5,FALSE,COSU,L08-058761,COSU8021628730,"2,551.00"
90051915,10/11/2019,12651.5,FALSE,COSU,L08-058210,COSU8022884200,"1,350.00"
90051881,10/11/2019,42996.3,FALSE,COSU,L07-110990,COSU6222618780,"5,060.00"
90051881,10/11/2019,42996.3,FALSE,COSU,L07-110284,COSU6215895980,"2,405.00"
90051881,10/11/2019,42996.3,FALSE,COSU,L01-120554,COSU6223714430,"1,050.00"
90051881,10/11/2019,42996.3,FALSE,COSU,L07-111246,COSU6224743860,"2,970.00"
90051881,10/11/2019,42996.3,FALSE,COSU,L07-111247,COSU6224743810,"2,970.00"
90051881,10/11/2019,42996.3,FALSE,COSU,L07-111248,COSU6224743880,"3,305.00"
90051881,10/11/2019,42996.3,FALSE,COSU,L07-111222,COSU6224743870,"2,825.70"
90051881,10/11/2019,42996.3,FALSE,COSU,L01-120012,COSU6221103000,"3,876.00"
90051881,10/11/2019,42996.3,FALSE,COSU,L01-120376,COSU6183012090,"2,824.06"
90051881,10/11/2019,42996.3,FALSE,COSU,L01-119761,COSU6180379670,"3,617.75"
90051881,10/11/2019,42996.3,FALSE,COSU,L01-120597,COSU6218050950,"5,614.04"
90051881,10/11/2019,42996.3,FALSE,COSU,L03-035437,COSU6218104240,"1,205.00"
90051881,10/11/2019,42996.3,FALSE,COSU,L01-120485,COSU6208201920,"2,015.00"
90051881,10/11/2019,42996.3,FALSE,COSU,L01-119665,COSU6214700520,"3,258.75"
90051836,10/10/2019,4919.5,FALSE,COSU,L08-058517,COSU8022951490,"1,374.50"
90051836,10/10/2019,4919.5,FALSE,COSU,L08-057537,COSU8021576590,"1,501.00"
90051836,10/10/2019,4919.5,FALSE,COSU,L08-058083,COSU80227944310,"1,139.00"
90051836,10/10/2019,4919.5,FALSE,COSU,L16-008952,COSU8022781900,50
90051836,10/10/2019,4919.5,FALSE,COSU,L16-008955,COSU8022760930,39
90051836,10/10/2019,4919.5,FALSE,COSU,L16-009033,COSU8022869860,799
90051836,10/10/2019,4919.5,FALSE,COSU,L16-009033,COSU8022869860,17
90051813,10/10/2019,6363.4,FALSE,COSU,L07-110914,COSU6213287560,"6,363.40"
90051801,10/10/2019,79635.47,FALSE,COSU,L07-111085,COSU6222603420,"3,426.00"
90051801,10/10/2019,79635.47,FALSE,COSU,L15-011504,COSU6216272390,"2,822.02"
90051801,10/10/2019,79635.47,FALSE,COSU,L15-011517,COSU6220821650,"2,670.00"
90051801,10/10/2019,79635.47,FALSE,COSU,L07-110794,COSU6219042880,"3,093.02"
90051801,10/10/2019,79635.47,FALSE,COSU,L07-110833,COSU6221104110,"6,156.04"
90051801,10/10/2019,79635.47,FALSE,COSU,L07-110614,COSU6221104280,"13,995.30"
90051801,10/10/2019,79635.47,FALSE,COSU,L07-111108,COSU6222616450,"2,380.00"
90051801,10/10/2019,79635.47,FALSE,COSU,L15-011522,COSU6218118661,"2,785.70"
90051801,10/10/2019,79635.47,FALSE,COSU,L15-011523,COSU6218104250,"3,205.00"
90051801,10/10/2019,79635.47,FALSE,COSU,L15-011524,COSU6218104251,"3,205.00"
90051801,10/10/2019,79635.47,FALSE,COSU,L15-011507,COSU6218081860,"9,384.06"
90051801,10/10/2019,79635.47,FALSE,COSU,L15-011508,COSU6218072440,"12,512.08"
90051801,10/10/2019,79635.47,FALSE,COSU,L09-009708,COSU6211024140,"2,275.00"
90051801,10/10/2019,79635.47,FALSE,COSU,L09-009710,COSU6220769760,"2,705.00"
90051801,10/10/2019,79635.47,FALSE,COSU,L01-120622,COSU6209250310,"2,842.50"
90051801,10/10/2019,79635.47,FALSE,COSU,L09-009695,COSU6211045540,"2,275.00"
90051801,10/10/2019,79635.47,FALSE,COSU,L09-009764,COSU6219108410,"1,476.00"
90051801,10/10/2019,79635.47,FALSE,COSU,L01-120300,COSU6220423400,"2,427.75"
